Rank,Country,Area,Population
13,Saudi Arabia,2149690,28828870
12,Greenland,2166086,56987
11,Congo Dem Rep of the,2345410,67513677
10,Algeria,2381740,39208194
9,Kazakhstan,2717300,16440586
8,Argentina,2766890,41446246
7,India,3287590,1252139596
6,Australia,7686850,23342553
5,Brazil,8511965,200361925
4,China,9596960,1385566537
3,United States of America,9826630,320050716
2,Canada,9984670,35181704
1,Russia,17075200,142833689
